spcode,rep,biomass
AVBA,2,0.046
SPAI,2,0.042
AVBA,4,0.065
AVBA,3,0.042
BRHO2,5,0.027
NAPU4,5,0.044
NAPU4,4,0.074
NAPU4,3,0.043
NAPU4,2,0.071
AROL,5,0.009
ARPU9,4,0.017
MURI2,5,0.05
AROL,2,0.015
AROL,3,0.012
AROL,1,0.012
MURI2,4,0.058
ARPU9,2,0.018
MURI2,3,0.052
MURI2,1,0.056
AROL,4,0.005
POSE,3,0.004
VUMY,2,0.007
MURI2,2,0.061
VUMY,1,0.013
POSE,4,0.002
SEPU8,2,0.067
SEPU8,3,0.053
SEPU8,4,0.084
ARPU9,3,0.013
SEPU8,5,0.062
SPAI,4,0.027
VUMY,4,0.016
NAPU4,1,0.079
SEPU8,1,0.093
VUMY,5,0.013
VUMY,3,0.011
SPAI,3,0.019
POSE,2,0.006
POSE,1,0.003
SPAI,1,0.051
SPAI,2,0.02
ARPU9,5,0.018
ARPU9,1,0.017
BRHO2,4,0.018
BRHO2,3,0.035
BRHO2,1,0.018
BRDI2,4,0.009
BRHO2,2,0.027
BRDI2,5,0.006
BRDI2,3,0.003
BRDI2,2,0.006
BRDI2,1,0.011
ELGL,5,0.014
ELGL,4,0.02
AVBA,1,0.073
ELGL,3,0.018
ELGL,2,0.029
ELGL,1,0.024
AVBA,5,0.056