spcode,rep,area
AROL,1,1.787
AROL,2,2.813
AROL,3,1.991
AROL,4,1.057
AROL,5,1.339
ARPU9,1,3.095
ARPU9,2,2.997
ARPU9,3,0.865
ARPU9,4,2.597
ARPU9,5,2.956
AVBA,1,15.02
AVBA,2,10.467
AVBA,3,9.593
AVBA,4,10.917
AVBA,5,14.36
BRDI2,1,2.932
BRDI2,2,2.095
BRDI2,3,2.246
BRDI2,4,1.874
BRDI2,5,1.884
BRHO2,1,4.442
BRHO2,2,5.645
BRHO2,3,8.364
BRHO2,4,4.682
BRHO2,5,6.491
ELGL,1,4.442
ELGL,2,5.284
ELGL,3,3.293
ELGL,4,2.824
ELGL,5,2.942
MURI2,1,8.943
MURI2,2,10.04
MURI2,3,9.072
MURI2,4,8.732
MURI2,5,7.912
NAPU4,1,9.976
NAPU4,2,9.719
NAPU4,3,6.694
NAPU4,4,10.28
NAPU4,5,5.964
POSE,1,0.894
POSE,2,1.312
POSE,3,1.015
POSE,4,0.512
POSE,5,1.621
SEPU8,1,21.388
SEPU8,2,16.019
SEPU8,3,14.645
SEPU8,4,18.271
SEPU8,5,16.381
SPAI,1,9.335
SPAI,2,4.46
SPAI,3,3.366
SPAI,4,4.723
SPAI,5,7.196
VUMY,1,2.368
VUMY,2,2.523
VUMY,3,3.636
VUMY,4,4.171
VUMY,5,2.891