spcode,rep,date,dia_base1,dia_base2,dia_can1,dia_can2,height,length
AROL,30D-4,3/15/22,0.4,0.1,8.5,2.5,12.5,20.8
AROL,30D-5,3/15/22,0.1,0.1,6.5,2,7,9.9
AROL,30D-2,3/15/22,0.4,0.2,4.5,2,18,19.2
AROL,30D-3,3/15/22,0.2,0.1,3,0.5,18.8,19.6
AROL,30D-1,3/15/22,0.2,0.2,1.5,1,17,19.5
AROL,45D-3,3/25/22,0.2,0.1,3.5,1,17,17.2
AROL,45D-1,3/25/22,0.5,0.2,15,8.5,23.7,25.5
AROL,45D-2,3/25/22,0.3,0.2,17.5,5,24.4,26
AROL,45D-5,3/25/22,0.3,0.2,19,17,23.8,30
AROL,45D-4,3/25/22,0.1,0.1,6.5,1.2,15,15.5
AROL,3M-1,4/14/22,1.2,0.2,23.5,14,46.8,46.8
AROL,5M-2,4/14/22,0.8,0.1,29.3,16,36.5,39.4
AROL,4M-4,4/14/22,0.6,0.1,24.2,8.8,36.9,38
AROL,3M-3,4/14/22,0.8,0.4,38.2,15.8,23.2,42.1
AROL,5M-5,4/14/22,0.8,0.1,15.2,5.8,30.5,37.1
AROL,2M-5,5/6/22,0.8,0.5,47,36,31,70
AROL,4M-3,5/6/22,0.6,1.1,68,42,26.5,68
AROL,3M-4,5/6/22,0.6,1,77,39,30.5,77
AROL,5M-1,5/6/22,0.8,1.3,60,43,43.5,57
AROL,3M-2,5/6/22,0.3,0.5,28,18,39.5,50
AROL,2M-2,6/10/22,2,1.1,76,77,46,94
AROL,2M-1,6/10/22,1.2,1.1,76,39,53,100
AROL,5M-4,6/10/22,1.5,1.2,76,55,29,100
AROL,4M-5,6/10/22,1.7,1.4,91,80,42,102
AROL,5M-3,6/10/22,1.6,1.2,90,80,35,90
AROL,4M-1,6/24/22,2.5,3,70,77,47,82
AROL,2M-4,6/24/22,2,2.3,104,85,55,88
AROL,4M-2,6/24/22,1.8,2.2,61,70,49,58
AROL,2M-3,6/24/22,2.5,2.7,115,61,54,92
AROL,3M-5,6/24/22,3.5,3,81,77,60,77
ARPU9,30D-4,3/15/22,0.7,0.5,20.5,18.5,15.5,23.1
ARPU9,30D-5,3/15/22,0.7,0.4,18.5,10,18,19
ARPU9,30D-2,3/15/22,0.5,0.2,9,6,13.5,13.6
ARPU9,30D-3,3/15/22,0.5,0.3,9,3.8,15.5,16
ARPU9,30D-1,3/15/22,0.3,0.2,9,2,10.5,12.5
ARPU9,45D-3,3/25/22,0.4,0.4,17,5,13,15.2
ARPU9,45D-1,3/25/22,1,0.7,23,25,28.3,28.9
ARPU9,45D-2,3/25/22,0.5,0.3,21,18,17.2,22.2
ARPU9,45D-5,3/25/22,1,0.6,18,12.7,24.9,25.5
ARPU9,45D-4,3/25/22,0.3,0.4,19,5.5,12.3,25.5
AVBA,30D-1,3/15/22,0.8,0.7,20.5,19,10,21.5
AVBA,30D-4,3/15/22,1.5,1,25.5,18,7,19.5
AVBA,30D-5,3/15/22,1.2,1.2,16,13.5,12,19
AVBA,30D-2,3/15/22,0.8,0.5,18,15,6.3,19
AVBA,30D-3,3/15/22,0.7,0.5,14.5,13.5,11,22.5
AVBA,2M-3,4/1/22,3.5,2.5,35.5,27,22,39.5
AVBA,2M-2,4/1/22,1.8,1.5,38,19.4,17.3,33
AVBA,2M-1,4/1/22,3.4,2.6,39.7,24,15.4,37.4
AVBA,3M-5,4/1/22,2.3,3.9,45,42,20.5,46
AVBA,4M-4,4/1/22,2.1,1.8,40,28,15.4,43.5
AVBA,45D-2,4/14/22,1.8,2,24,20,16.5,19.9
AVBA,45D-3,4/14/22,1.8,1.9,23,20,14,16
AVBA,45D-5,4/14/22,1.6,2.5,24,16,22,22
AVBA,45D-4,4/14/22,1.7,1.5,22,16,13.7,15
AVBA,45D-1,4/14/22,1.5,1.5,22,19,12,18
AVBA,2M-5,5/6/22,4.4,6,97,66,103,147
AVBA,5M-3,5/6/22,5,5,57,72,84,104
AVBA,5M-4,5/6/22,7,6,55,71,135,150
AVBA,5M-2,5/6/22,5,4.9,29,10,122,136
AVBA,3M-1,5/6/22,4.5,6,31,39,83,92
AVBA,4M-3,5/27/22,7,7,70,41,125,193
AVBA,5M-5,5/27/22,7.5,7,91,59,146,155
AVBA,3M-4,5/27/22,6,5.5,64,53,126,135
AVBA,4M-1,5/27/22,6.5,7,79,40,147,147
AVBA,3M-2,5/27/22,5,4.5,55,53,138,138
AVBA,2M-4,6/3/22,7,7,120,65,162,65
AVBA,4M-5,6/3/22,6,6,80,74,125,148
AVBA,3M-3,6/3/22,5,6,64,55,150,157
AVBA,4M-2,6/3/22,6.5,7.3,56,49,138,150
AVBA,5M-1,6/3/22,6.8,7.5,61,49,150,160
BRDI2,30D-4,3/15/22,0.5,0.3,8.5,6.4,11,11.1
BRDI2,30D-5,3/15/22,0.5,0.2,9,4.5,11.5,12
BRDI2,30D-2,3/15/22,1,0.7,15,15,9.5,10.5
BRDI2,30D-3,3/15/22,1,1,16,12.5,10.3,12
BRDI2,30D-1,3/15/22,1,0.7,13,9.5,8,12.5
BRDI2,5M-2,4/1/22,4.5,3.5,26,22,20,25
BRDI2,5M-1,4/1/22,2,1.5,30,22,17,23.5
BRDI2,4M-5,4/1/22,5,4,38,24,23,27.5
BRDI2,2M-3,4/1/22,3.2,3,26.5,21,24,27
BRDI2,4M-4,4/1/22,3.1,2.3,20,20,20.3,26
BRDI2,45D-2,4/14/22,2,1.4,20,13.5,14,19.5
BRDI2,45D-3,4/14/22,2.4,2,13.5,12,12.5,14
BRDI2,45D-4,4/14/22,1.8,2,10.5,10,18.5,19.5
BRDI2,45D-5,4/14/22,2,1.5,11,10,16.4,19
BRDI2,45D-1,4/14/22,1.5,1,19,12,16.5,19
BRDI2,3M-3,4/14/22,7.4,5.8,50.8,35.2,32.8,36.2
BRDI2,2M-1,4/14/22,1.6,1.8,39.5,33,23,29.7
BRDI2,5M-4,4/14/22,4.8,4,35.3,34.1,26.6,29.9
BRDI2,3M-5,4/14/22,4,2.5,29.6,24.5,20.8,22
BRDI2,4M-2,4/14/22,2.8,2,25.5,23,33,35.5
BRDI2,3M-4,5/6/22,7.4,6,66,78,33,62
BRDI2,2M-5,5/6/22,3,3,33,36,27,30
BRDI2,4M-3,5/6/22,4.2,4,22,23,25,29
BRDI2,3M-1,5/6/22,5.5,6,73,43,52,58
BRDI2,3M-2,5/6/22,6.5,5.7,76,47,32,48
BRDI2,2M-2,5/20/22,8,7.5,59,62,35,54
BRDI2,5M-3,5/20/22,9,9.5,57,65,31.5,58
BRDI2,4M-1,5/20/22,9,10.5,86,73,42,59
BRDI2,2M-4,5/20/22,7.5,7,55,40,46,55
BRDI2,5M-5,5/20/22,3,3.5,32,34,25,36
BRHO2,30D-4,3/15/22,0.5,0.6,17,8,12,15.3
BRHO2,30D-5,3/15/22,0.3,0.2,3,6.5,11.5,12.5
BRHO2,30D-2,3/15/22,0.7,0.6,21,6.5,18,20.5
BRHO2,30D-3,3/15/22,0.6,1,15,12,10.5,12.5
BRHO2,30D-1,3/15/22,0.8,0.5,21,7.5,9.7,17
BRHO2,5M-1,4/1/22,4,4,23,16,15,19.5
BRHO2,5M-2,4/1/22,3.5,3.5,23.7,21.7,14.4,16.6
BRHO2,2M-3,4/1/22,3.5,2.7,23,20.4,11.7,19.2
BRHO2,4M-4,4/1/22,1.4,1.3,17,16,13.5,18
BRHO2,4M-5,4/1/22,2.8,2.2,17,16,7.2,13
BRHO2,45D-2,4/14/22,1.6,1.8,19,25.5,16.5,20.9
BRHO2,45D-1,4/14/22,2.6,2.4,10,10,9.2,16
BRHO2,45D-4,4/14/22,1.9,1.8,10,20,8,19.5
BRHO2,45D-5,4/14/22,1.7,2,10,9,11.5,12
BRHO2,45D-3,4/14/22,1.2,1,16,14,10.2,15
BRHO2,4M-1,5/20/22,7,8,23,26,46,56
BRHO2,4M-2,5/20/22,5,5.5,45,32,45,64
BRHO2,3M-3,5/20/22,6,7,29,26,16,21
BRHO2,5M-5,5/20/22,4.5,5,20.5,16.5,12,21
BRHO2,2M-5,5/27/22,7.5,6,33,24,17,21
BRHO2,2M-1,5/27/22,2.5,2,17,14,12,17
BRHO2,3M-2,5/27/22,4,4.8,38,40,33,44
BRHO2,2M-4,5/27/22,3,2.5,17,16,10,15
BRHO2,5M-3,5/27/22,5,4,24,26,27,27
BRHO2,3M-1,6/3/22,5,5,18,19,23,24
BRHO2,4M-3,6/3/22,5.5,6.2,83,30,34,61
BRHO2,2M-2,6/3/22,7,6,63,53,38,67
BRHO2,3M-5,6/3/22,7.5,6.5,83,63,35,63
BRHO2,3M-4,6/3/22,4,5,28,22,26,30
ELGL,30D-1,3/15/22,0.5,0.7,21.5,12,9.5,13.5
ELGL,30D-4,3/15/22,0.6,0.4,12.5,9,11.5,16
ELGL,30D-5,3/15/22,0.3,0.1,11.5,3.5,30,30
ELGL,30D-2,3/15/22,0.5,0.3,14,11,9,14.5
ELGL,30D-3,3/15/22,0.4,0.5,18,11,20.2,23
ELGL,45D-2,4/14/22,1.7,1.1,20,12,15.5,19.1
ELGL,45D-3,4/14/22,1.5,1.3,15.8,15.5,12,17
ELGL,45D-1,4/14/22,1.1,0.8,21,9,18,22
ELGL,45D-5,4/14/22,1,1.8,22,11.5,15,18.5
ELGL,45D-4,4/14/22,0.5,0.4,12.5,10,27.5,30
ELGL,4M-3,7/1/22,4.4,3.7,57,43,69,70
ELGL,5M-2,7/1/22,5,3.7,37,28,65,66
ELGL,3M-5,7/1/22,3.3,2.1,38,20,90,90
ELGL,2M-1,7/1/22,3,3,45,15,65,70
ELGL,4M-4,7/1/22,2.5,3,117,80,60,87
MURI2,30D-1,3/15/22,0.3,0.1,4,4,12.5,25.5
MURI2,30D-4,3/15/22,0.2,0.2,2,3,21.8,22.5
MURI2,30D-5,3/15/22,0.2,0.1,2.5,1,17,24.9
MURI2,30D-2,3/15/22,0.1,0.1,15.5,3,15,22.5
MURI2,30D-3,3/15/22,0.2,0.2,5.7,4,13,20.5
MURI2,45D-3,3/25/22,0.3,0.3,17,2,22.3,28
MURI2,45D-1,3/25/22,0.3,0.2,22,4,20,26
MURI2,45D-2,3/25/22,0.4,0.4,19,14.8,31,32
MURI2,45D-5,3/25/22,0.4,0.3,11,5,24,26
MURI2,45D-4,3/25/22,0.4,0.3,13.8,16.5,28.8,32.5
MURI2,2M-4,4/1/22,0.4,0.2,27,19,34,40
MURI2,2M-5,4/1/22,3,0.4,24,13,42,57
MURI2,4M-2,4/1/22,1.5,0.3,26,14,23.5,37
MURI2,2M-1,4/1/22,1.8,0.7,22.7,12.7,23.6,52.9
MURI2,2M-3,4/1/22,1.1,0.2,12,5,27.5,48
MURI2,4M-5,5/27/22,6,2.8,88,75,63,99
MURI2,3M-3,5/27/22,5.3,3.2,84,80,51,100
MURI2,2M-2,5/27/22,5.3,4.2,76,64,64,95
MURI2,5M-4,5/27/22,4,3,77,87,72,95
MURI2,3M-1,5/27/22,4,3.7,77,72,40,97
NAPU4,30D-4,3/15/22,0.5,0.3,17,11,15.7,23
NAPU4,30D-5,3/15/22,0.5,0.2,11.5,5,13.2,22
NAPU4,30D-2,3/15/22,0.7,0.4,16,10,13.2,21.5
NAPU4,30D-3,3/15/22,0.4,0.3,16,20,10,15.5
NAPU4,30D-1,3/15/22,1,0.4,17,4.5,14.5,18
NAPU4,5M-2,4/1/22,1.4,1,20,19,21.5,40
NAPU4,5M-5,4/1/22,1.1,0.4,33,21.5,25.5,37.5
NAPU4,4M-1,4/1/22,1,0.6,28.5,14.5,21.2,52
NAPU4,45D-2,4/14/22,1.1,0.8,21.5,13,25,34.4
NAPU4,45D-3,4/14/22,2.3,2.7,24,16,19,23
NAPU4,45D-5,4/14/22,0.8,1.3,20,5,15.9,18.7
NAPU4,45D-1,4/14/22,2.2,1.2,24,13,22.2,28
NAPU4,45D-4,4/14/22,1.4,1.4,33.5,25.5,20,28
NAPU4,4M-4,4/1/22,1.4,0.6,45,15,28.4,36.3
NAPU4,3M-3,4/1/22,2,1.3,23,23,20.4,34.2
POSE,30D-4,3/15/22,0.4,0.2,6.5,4.5,9,10.5
POSE,30D-5,3/15/22,0.2,0.1,3.5,1,7.5,7.7
POSE,30D-2,3/15/22,0.5,0.2,4,4.5,6.7,7.1
POSE,30D-3,3/15/22,0.2,0.2,3,3,7.6,7.8
POSE,30D-1,3/15/22,0.2,0.2,2.5,1.3,8.5,8.9
POSE,45D-2,4/14/22,1,0.7,9,9,9.8,10
POSE,45D-3,4/14/22,0.9,0.3,1.9,2.4,10.9,11.9
POSE,45D-4,4/14/22,1.1,1,7,5.5,8.4,11
POSE,45D-1,4/14/22,1,0.4,6,4.5,7,7.8
POSE,45D-5,4/14/22,0.2,0.1,2.5,1,7.5,8
SEPU8,30D-1,3/15/22,1.3,0.5,10.5,7.5,17,19
SEPU8,30D-4,3/15/22,0.7,0.4,17,4,15,20.5
SEPU8,30D-5,3/15/22,2,1.5,27,20,12.5,20.5
SEPU8,30D-2,3/15/22,1.8,0.7,21,15.5,17.5,19
SEPU8,30D-3,3/15/22,1.2,1,20.5,20.5,14,25.5
SEPU8,45D-3,3/25/22,0.7,0.5,30,9,33,37
SEPU8,45D-1,3/25/22,1,0.7,25.5,6,34.5,36
SEPU8,45D-2,3/25/22,1,0.6,30,10,29.8,36
SEPU8,45D-5,3/25/22,0.5,1.1,25.5,5,24.8,28.5
SEPU8,45D-4,3/25/22,0.7,0.6,25.5,5,31.2,32
SEPU8,5M-4,4/1/22,4,2.5,51,45,20,40
SEPU8,2M-1,4/1/22,1.5,0.5,56,14,33,59
SEPU8,2M-2,4/1/22,2.5,0.8,60,25.5,44,72
SEPU8,2M-3,4/1/22,0.7,0.4,32,20,25,42
SEPU8,2M-5,4/1/22,4.6,5.2,46,51,13,44
SEPU8,4M-5,5/6/22,8,7.5,97,55,115,119
SEPU8,4M-3,5/6/22,1.5,0.8,51,31,97,98
SEPU8,4M-4,5/6/22,3.2,0.7,48.5,50,114.5,125
SEPU8,5M-1,5/6/22,8,9,44,28.5,72,73
SEPU8,5M-2,5/6/22,3.2,1,57,51,109,120
SEPU8,4M-2,6/10/22,6,5.5,93,95,178,186
SEPU8,3M-4,6/10/22,3.1,1.2,58,48,188,188
SEPU8,5M-5,6/10/22,4.7,1.5,67,65,155,170
SEPU8,3M-3,6/10/22,3.5,2.3,80,40,137,167
SEPU8,4M-1,6/10/22,11,10,97,100,75,144
SEPU8,3M-5,6/24/22,2.5,4,59,66,180,190
SEPU8,2M-4,6/24/22,3.8,1.5,78,60,195,200
SEPU8,3M-2,6/24/22,3.3,1.7,59,74,138,174
SEPU8,3M-1,6/24/22,4.5,2.3,74,59,163,164
SPAI,30D-1,3/15/22,0.4,0.1,1.5,0.5,23,23.5
SPAI,30D-4,3/15/22,0.5,0.1,10,1,16.7,20
SPAI,30D-5,3/15/22,0.7,0.2,16,2.5,18.5,22.8
SPAI,30D-2,3/15/22,0.3,0.2,6,1,17,21
SPAI,30D-3,3/15/22,0.3,0.1,8.5,3.5,14.5,26.5
SPAI,45D-3,3/25/22,0.7,0.4,6.5,4,25.4,26.9
SPAI,45D-1,3/25/22,1,0.3,24,12,25.4,26
SPAI,45D-2,3/25/22,1.4,0.6,37,21.5,32,39.5
SPAI,45D-5,3/25/22,0.9,0.4,25,5,27.4,30
SPAI,45D-4,3/25/22,0.7,0.1,15,6,22,32
SPAI,5M-5,4/14/22,2.6,0.7,31.6,24.5,36.2,42.2
SPAI,2M-4,4/14/22,1.4,0.1,24.8,13.8,23.2,46.2
SPAI,5M-1,4/14/22,1.6,0.8,31.8,29.2,42.5,43.4
SPAI,3M-3,4/14/22,2.3,1.1,24.2,21.2,30.2,31.5
SPAI,5M-2,4/14/22,1.8,0.7,24.6,13.6,28.6,29
SPAI,5M-4,7/1/22,7.5,7,103,70,104,110
SPAI,4M-2,7/1/22,7.5,8,76,75,73,76
SPAI,3M-5,7/1/22,6,6.5,70,62,123,123
SPAI,2M-3,7/1/22,8,7,77,72,95,104
SPAI,3M-1,7/1/22,7.5,7,69,60,70,71
VUMY,30D-1,3/15/22,0.8,0.7,20,18,11.5,15.5
VUMY,30D-4,3/15/22,1.2,1.2,16.5,14.5,14.5,16
VUMY,30D-5,3/15/22,1.1,0.8,20,17,12,16.5
VUMY,30D-2,3/15/22,0.8,0.7,15,15,11,12.5
VUMY,30D-3,3/15/22,0.5,0.4,23.5,16.5,17.5,18.5
VUMY,45D-1,4/1/22,1.5,1.3,23,17,15.5,17
VUMY,45D-4,4/1/22,1.1,1.1,15.5,20,24.7,25.5
VUMY,45D-3,4/1/22,2.2,2.1,18,16.5,11,14
VUMY,45D-2,4/1/22,1.1,1.1,9,8,39,42
VUMY,45D-5,4/1/22,1.6,2,21,21.5,15,17
VUMY,2M-5,5/6/22,2.1,1.5,57,45,38,52
VUMY,4M-4,5/6/22,2,2,64,22,38,51
VUMY,3M-3,5/6/22,5.2,5.5,58,48,36.5,46
VUMY,5M-2,5/6/22,3.1,3.1,78,63,38,69
VUMY,2M-1,5/6/22,4,4,35,30,27,35
VUMY,3M-2,5/20/22,5,6,36,39,57,60
VUMY,2M-4,5/20/22,5,5,38,30,46,60
VUMY,5M-5,5/20/22,6,6,83,80,49,67
VUMY,2M-3,5/20/22,5,4,54,45,55,61
VUMY,4M-1,5/20/22,5,5.5,38,35,58,59
VUMY,3M-4,5/27/22,3.2,3.9,37,28,33,37
VUMY,5M-1,5/27/22,3,3,47,34,32,51
VUMY,2M-2,5/27/22,4.8,5,38,34,39,39
VUMY,5M-3,5/27/22,6.5,7,35,37,24,25
VUMY,4M-5,5/27/22,4.5,3,20,19,18,18
VUMY,5M-4,6/3/22,4.2,4.5,76,77,51,61
VUMY,3M-5,6/3/22,5.7,4.6,37,39,30,33
VUMY,4M-3,6/3/22,5,4.5,95,76,56,65
VUMY,4M-2,6/3/22,6.5,8,69,42,57,65
VUMY,3M-1,6/3/22,5.5,5,33,36,35,35
NAPU4,4M-3,7/8/22,5,6,61,57,37,45
NAPU4,3M-5,7/8/22,4.5,5,71,58,35,55
NAPU4,3M-4,7/8/22,6.5,5.3,67,62,54,65
NAPU4,2M-2,7/8/22,4,3.5,44,56,32,35
NAPU4,3M-1,7/8/22,4.3,3.5,80,77,50,65
ARPU9,3M-4,7/8/22,3.6,4,67,61,30,50
ARPU9,4M-2,7/8/22,2.8,3,63,60,26,40
ARPU9,3M-5,7/8/22,2.6,2.8,68,59,31,60
ARPU9,4M-3,7/8/22,4.1,3.7,91,83,55,70
ARPU9,3M-1,7/8/22,2.7,2.5,57,56,33,41