spcode,rep,dia_base1,dia_base2,dia_can1,dia_can2,length,mass
ARPU9,4M-1,0.8,0.7,0.9,0.9,9.4,0.021
ARPU9,5M-4,1.1,1.3,0.8,0.9,8.6,0.022
ARPU9,5M-3,0.9,0.8,1,1.1,27.7,0.087
ARPU9,3M-2,1,1.6,0.8,1.1,11.2,0.038
ARPU9,4M-5,0.9,1.3,1,1.4,18.2,0.062
SPAI,4M-3,2,2.8,1.8,2.7,9,0.097
SPAI,4M-1,2.6,3.1,2,2.1,12.6,0.143
SPAI,4M-5,3.9,4.3,2.7,2.7,19.2,0.725
SPAI,2M-2,2.3,2.4,1.9,2,9.5,0.132
SPAI,4M-4,2.4,2.8,2,2.2,12.8,0.17
ELGL,2M-3,1.5,1.5,1.5,1.7,12.2,0.113
ELGL,3M-2,1.1,1.3,1.3,1.4,11,0.064
ELGL,2M-4,1.2,1.1,0.9,1,15.4,0.076
ELGL,4M-1,1.6,1.4,1.6,1.5,13.2,0.125
ELGL,5M-5,1.1,0.9,1,0.9,11.9,0.022
MURI2,5M-1,3.6,3.8,4.3,4.2,12.6,0.432
MURI2,3M-5,3.3,3.5,2.7,2.6,10,0.354
MURI2,3M-4,3.2,3.1,2.6,2.6,10.9,0.25
MURI2,3M-2,3.4,2.9,3.3,3.2,7.3,0.218
MURI2,4M-3,3,2.6,3.3,3.3,12.8,0.332